Cranch,  Cody
Cruz,  Isabel
DasGupta,  Bhaskar
Eriksson,  Jakob
Fulton,  Chris
Gjomemo,  Rigel
Grechanik,  Mark
Johnson,  Andrew
Kanich,  Chris
Chattopadhyay,  Debaleena
Buy,  Ugo
Bernstein,  Daniel  J.
Koehler,  Adam
Liu,  Bing
Lyons,  Leilah
Mansky,  William
Miranda,  Fabio
Polakis,  Jason
Reckinger,  Shanon
Reed,  Dale
Renambot,  Luc
Sidiropoulos,  Anastasios
Vamanan,  Balajee
Venkatakrishnan,  V.  N.
Zhang,  Xinhua
Ziebart,  Brian
Kristin Tufte,
Jack Weast
Michael Wilson
Kristine-Anne Sarreal
Hoque, Ehsan
Sasitharan Balasubramaniam
Chris Bohn
Justin Bradley
Shruti Daggumati
Sruti Das Choudhury
Robert Dyer
Jeffrey Falkinburg
Justin Firestone
Nirnimesh Ghose
Mohammad Hasan
Muhammad Naveed Aman
Shuai Nie
Ryan Patrick
Byrav Ramamurthy
Arman Roohi
Bonita Sharif
Witty Srisa-an
Stephanie Valentine
Vinodchandran Variyam
Mehmet Can Vuran
Derek Weitzel
Marilyn Wolf
Matthew Dwyer
Steve Goddard
Bill Browning
Ron Kruml
Wayne Motycka
Sara Simonsen
Shea Svoboda
Nathan Bean
Doina Caragea
George LaVezzi
Pavithra Prabhakar
Manmohan Chandraker
Henrik I. Christensen
Rob Knight
Mia Minnes
Ravi Ramamoorthi
Debashis Sahoo
Jingbo Shang
Aruna Balasubramanian
Niranjan Balasubramanian
Ritwik Banerjee
Samir R. Das
Anshul Gandhi
Xianfeng Gu
Haibin Ling
Kevin McDonnell
Joydeep Mitra
Minh Hoai Nguyen
Nick Nikiforakis
Michalis Polychronakis
Dimitris Samaras
Eugene Stark
Scott Stoller
Fusheng Wang
Nilanjan Chakraborty
Chuan Huang
Zhenhua Liu
Peter Milder
Prateek Prasanna
Joel Saltz
Margaret Schedel
Susu Xu
Fan Ye
Gregory Zelinsky
Jie Gao
Phillipa Gill
Ayush Kumar
Joseph Marino
Robert Patro
Sloan,  Robert
Chris Bourke
Xiaojun Bi
Jihoon Ryoo
Dennis Wong
Jennifer Wong-Ma
Leo Bachmair
Owen Rambow
Robert Atkinson
K. Selcuk Candan
Adam Doupe
Georgios Fainekos
Samira Ghayekhloo
Dianne Hansford
Subbarao Kambhampati
Heewook Lee
Baoxin Li
Huan Liu
Ross Maciejewski
Ryan Meuth
Katina Michael
Ariane Middel
Sethuraman Panchanathan
David Pheanis
Mohamed Sarwat
Vijay Suthar
Joseph Urban
Susan Urban
Yalin Wang
Carole-Jean Wu
Yezhou Yang
Ming Zhao
Stephen Yau
Jia Zou
George Adams
Kamyar Azizzadenesheli
Saugata Basu
Bedrich Benes
Hisham Benotman
Tony Bergstrom
Antonio Bianchi
Chris Clifton
Christina Garman
Dan Goldwasser
Susanne Hambrusch
Aniket Kate
Ninghui Li
Anuran Makur
Jennifer Neville
Ryan Newton
Xavier Tricoche
Jeffrey A. Turkstra
Paul Valiant
Jianguo Wang
Patrick Wolfe
Dongyan Xu
Tianyi Zhang
Saurabh Bagchi
Gaurav Chopra
Y Charlie Hu
Sabre Kais
Sanjay Rao
Mark Ward
Mohammad Adibuzzaman
Oliver Bracevac
Taegyu Kim
Ashish Mishra
Keli Richardson
Ruby Tahboub
Omar Chowdhury, Ph.D.
Steve Goddard, Ph.D.
Juan Pablo Hourcade, Ph.D.
Guanpeng Li, Ph.D.
J. Garrett Morris, Ph.D.
Brandon Myers, Ph.D.
Denise Szecsei, Ph.D.
Cesare Tinelli, Ph.D.
Gustavo Rodriguez-Rivera
Yung-Hsiang Lu
Marina Blanton
Krzysztof Z Gajos
Petros Koumoutsakos
Hima Lakkaraju
Na Li
Hanspeter Pfister
Milind Tambe
Leslie G. Valiant
Fernanda Viegas
Robert J. Wood
Todd Zickler
Elena Leah Glassman
Efthimios Kaxiras
James H. Waldo
David Brooks
H.T. Kung
Dr. Tanvir Ahmed
Sarah Angell
Dr. George Atia
Dr. Issa Batarseh
Dr. Chen Chen
Dr. Yaser P. Fallah
Dr. Yanjie Fu
Yiling Chen
Susan A Murphy
Stratos Idreos
Gu-Yeon Wei
Dr. Ivan Garibay
Dr. Paul Gazzillo
Dr. Mark Heinrich
Dr. Joseph J LaViola
Dr. Gary T. Leavens
Dr. Fei Liu
Dr. Ryan McMahan
Travis Meade
Dr. Euripides Montagne
Dr. Nazanin Rahnavard
Dr. Dirk Reiners
Dr. Yan Solihin
Dr. Gita Sukthankar
Dr. Sharma Thankachan
Dr. Damla Turgut
Dr. Annie Wu
Dr. Fan Yao
Dr. Shibu Yooseph
Dr. Murat Yuksel
Dr. Shaojie Zhang
Dr. Wei Zhang
Dr. Hao Zheng
Dr. Cliff Zou
Le, Khiem
Marcus, Andrian
Min, Richard
Alexander Sasha" Rush."
Nicholas Barendt
Michael Branicky
Praphul Chandra, Adjunct Assistant Professor
Mahdi Cheraghchi Bashi Astaneh, Adjunct Assistant Professor
Sanjaya Gajurel, Adjunct Assistant Professor
Manish Gupta, Adjunct Assistant Professor
Eamon Johnson
Anand Narasimhamurthy, Adjunct Assistant Professor
Gurkan Bebek
Roger French
Michael Fu
Fulai Jin
Aziz Nazha
Xiong (Bill) Yu
Yong Chen, Ph.D
Susan A. Mengel, Ph.D.
Lisa Anthony, Ph.D.
Vincent Bindschaedler, Ph.D.
Jeremiah J. Blanchard, Ph.D.
Kristy Elizabeth Boyer, Ph.D.
Kevin R. B. Butler, Ph.D.
Alin Dobra, Ph.D.
Paul D. Gader, Ph.D.
Ahmed Helmy, Ph.D.
Mehmet Celepkolu, Ph.D.
Christina Gardner-McCune, Ph.D
Christina Gardner-McCune, Ph.D.
Juan E. Gilbert, Ph.D.
Abdelsalam (Sumi) Helal, Ph.D.
Eakta Jain, Ph.D.
Amanpreet Kapoor, M.S.
Prabhat Mishra, Ph.D.
